,gacha_id,gacha_type,item_id,count,time,name,item_type,rank_type,api_id
0,2010,11,20016,1,2023-09-27 19:54:46,俱殁,光锥,3,1695813000000631474
1,2010,11,20020,1,2023-09-27 19:54:46,睿见,光锥,3,1695813000000631574
2,2010,11,20017,1,2023-09-27 19:54:46,开疆,光锥,3,1695813000000631674
3,2010,11,20017,1,2023-09-27 19:54:46,开疆,光锥,3,1695813000000631774
4,2010,11,20006,1,2023-09-27 19:54:46,智库,光锥,3,1695813000000631874
5,2010,11,20009,1,2023-09-27 19:54:46,乐圮,光锥,3,1695813000000631974
6,2010,11,20013,1,2023-09-27 19:54:46,灵钥,光锥,3,1695813000000632074
7,2010,11,20017,1,2023-09-27 19:54:46,开疆,光锥,3,1695813000000632174
8,2010,11,21008,1,2023-09-27 19:54:46,猎物的视线,光锥,4,1695813000000632274
9,2010,11,20011,1,2023-09-27 19:54:46,渊环,光锥,3,1695813000000632374
10,2010,11,20014,1,2023-09-27 19:55:08,相抗,光锥,3,1695813000000637674
11,2010,11,20005,1,2023-09-27 19:55:08,齐颂,光锥,3,1695813000000637774
12,2010,11,20007,1,2023-09-27 19:55:08,离弦,光锥,3,1695813000000637874
13,2010,11,20019,1,2023-09-27 19:55:08,调和,光锥,3,1695813000000637974
14,2010,11,20007,1,2023-09-27 19:55:08,离弦,光锥,3,1695813000000638074
15,2010,11,20013,1,2023-09-27 19:55:08,灵钥,光锥,3,1695813000000638174
16,2010,11,20016,1,2023-09-27 19:55:08,俱殁,光锥,3,1695813000000638274
17,2010,11,1106,1,2023-09-27 19:55:08,佩拉,角色,4,1695813000000638374
18,2010,11,20007,1,2023-09-27 19:55:08,离弦,光锥,3,1695813000000638474
19,2010,11,20013,1,2023-09-27 19:55:08,灵钥,光锥,3,1695813000000638574
20,2010,11,20006,1,2023-09-27 19:55:29,智库,光锥,3,1695813000000645274
21,2010,11,20014,1,2023-09-27 19:55:29,相抗,光锥,3,1695813000000645374
22,2010,11,20020,1,2023-09-27 19:55:29,睿见,光锥,3,1695813000000645474
23,2010,11,20007,1,2023-09-27 19:55:29,离弦,光锥,3,1695813000000645574
24,2010,11,20006,1,2023-09-27 19:55:29,智库,光锥,3,1695813000000645674
25,2010,11,20011,1,2023-09-27 19:55:29,渊环,光锥,3,1695813000000645774
26,2010,11,20005,1,2023-09-27 19:55:29,齐颂,光锥,3,1695813000000645874
27,2010,11,21003,1,2023-09-27 19:55:29,唯有沉默,光锥,4,1695813000000645974
28,2010,11,20000,1,2023-09-27 19:55:29,锋镝,光锥,3,1695813000000646074
29,2010,11,20017,1,2023-09-27 19:55:29,开疆,光锥,3,1695813000000646174
30,2010,11,1109,1,2023-09-27 19:55:49,虎克,角色,4,1695813000000650174
31,2010,11,20009,1,2023-09-27 19:55:54,乐圮,光锥,3,1695813000000652874
32,2010,11,20012,1,2023-09-27 19:55:59,轮契,光锥,3,1695813000000654274
33,2010,11,20020,1,2023-09-27 19:56:03,睿见,光锥,3,1695813000000654574
34,2010,11,20001,1,2023-09-27 19:56:07,物穰,光锥,3,1695813000000655174
35,2010,11,20011,1,2023-09-27 19:56:12,渊环,光锥,3,1695813000000656674
36,2010,11,20002,1,2023-09-27 19:56:16,天倾,光锥,3,1695813000000657274
37,1001,1,20005,1,2023-12-29 00:25:07,齐颂,光锥,3,1703779800001405074
38,1001,1,20011,1,2023-12-29 00:25:27,渊环,光锥,3,1703779800001418674
39,1001,1,1008,1,2023-12-29 00:25:32,阿兰,角色,4,1703779800001425374
40,1001,1,20014,1,2023-12-29 00:25:36,相抗,光锥,3,1703779800001427574
